2022-06-23 11:02:01 INFO  Employee Rest API:25 - Status code is 200
  2022-06-23 11:08:20 INFO  Employee Rest API:27 - Status code is 200
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - Thu, 23 Jun 2022 05:38:14 GMT===Date
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - application/json; charset=utf-8===Content-Type
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - chunked===Transfer-Encoding
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - keep-alive===Connection
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - Express===X-Powered-By
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - *===Access-Control-Allow-Origin
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - W/"406-ut0vzoCuidvyMf8arZpMpJ6ZRDw"===Etag
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - 1.1 vegur===Via
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - max-age=14400===Cache-Control
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - HIT===CF-Cache-Status
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - 5474===Age
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - max-age=604800, report-uri="https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct"===Expect-CT
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - {"endpoints":[{"url":"https:\/\/a.nel.cloudflare.com\/report\/v3?s=rM0cPUTw%2FONGylLcD8TVw096jFRH9lOvJWUWpiYceJv1PO5N6WyAMuXuF%2BhCITdewcmFnRFCx2LqrEUbuELU49rwfTMyXlaD7rdadZAbKP7nwN4zusal1zrpQg%3D%3D"}],"group":"cf-nel","max_age":604800}===Report-To
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - {"success_fraction":0,"report_to":"cf-nel","max_age":604800}===NEL
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - Accept-Encoding===Vary
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - cloudflare===Server
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - 71fae0594d51321e-BOM===CF-RAY
  2022-06-23 11:08:20 INFO  Employee Rest API:39 - gzip===Content-Encoding
  2022-06-23 11:08:20 INFO  Employee Rest API:33 - Status line is HTTP/1.1 200 OK
